Date,Rating
2023-02-27,2504
2023-02-28,2525
2023-03-01,2588
2023-03-02,2510
2023-03-03,2501
2023-03-04,2497
2023-03-05,2492
2023-03-07,2488
2023-03-08,2483
2023-03-09,2495
2023-03-10,2467
2023-03-11,2427
2023-03-14,2423
2023-03-17,2419
2023-03-18,2425
2023-03-29,2432
2023-03-30,2421
2023-04-01,2377
2023-04-03,2383
2023-04-05,2427
2023-04-06,2422
2023-04-07,2437
2023-04-08,2464
2023-04-09,2477
2023-04-10,2484
2023-04-11,2507
2023-04-12,2508
2023-04-13,2621
2023-04-14,2569
2023-04-15,2550
2023-04-16,2565
2023-04-17,2530
2023-04-18,2561
2023-04-19,2565
2023-04-20,2547
2023-04-21,2554
2023-04-22,2561
2023-04-23,2569
2023-04-24,2524
2023-04-25,2512
2023-04-26,2536
2023-04-27,2512
2023-04-28,2637
2023-04-29,2610
2023-04-30,2701
2023-05-01,2674
2023-05-02,2669
2023-05-03,2660
2023-05-04,2619
2023-05-05,2558
2023-05-06,2568
2023-05-07,2569
2023-05-08,2541
2023-05-09,2530
2023-05-10,2525
2023-05-11,2521
2023-05-12,2508
2023-05-13,2490
2023-05-14,2494
2023-05-15,2504
2023-05-16,2508
2023-05-17,2477
2023-05-18,2482
2023-05-19,2482
2023-05-20,2498
2023-05-21,2490
2023-05-22,2497
2023-05-23,2501
2023-05-24,2503
2023-05-26,2506
2023-05-27,2507
2023-05-28,2507
2023-06-06,2499
2023-06-07,2504
2023-06-09,2520
2023-06-12,2510
2023-06-21,2504
2023-06-22,2498
2023-06-23,2508
2023-06-24,2496
2023-06-26,2497
2023-06-27,2479
2023-06-29,2467
2023-07-06,2463
2023-07-13,2461
2023-07-14,2455
2023-07-16,2426
2023-07-17,2379
2023-07-18,2367
2023-07-19,2364
2023-07-20,2368
2023-07-21,2397
2023-07-22,2398
2023-07-23,2393
2023-07-24,2390
2023-07-25,2405
2023-07-26,2394
2023-07-28,2387
2023-07-29,2399
2023-07-30,2418
2023-08-02,2413
2023-08-03,2426
2023-08-04,2494
2023-08-06,2488
2023-08-07,2491
2023-08-08,2493
2023-08-09,2484
2023-08-10,2500
2023-08-11,2512
2023-08-12,2564
2023-08-13,2545
2023-08-15,2524
2023-08-16,2527
2023-08-17,2535
2023-08-21,2538
2023-08-22,2562
2023-09-07,2580
2023-09-08,2588
2023-09-09,2585
2023-09-10,2599
2023-09-11,2598
2023-09-12,2585
2023-09-13,2591
2023-09-14,2608
2023-09-15,2707
2023-09-16,2705
2023-09-18,2704
2023-09-19,2690
2023-09-20,2696
2023-09-21,2667
2023-09-22,2698
2023-09-23,2687
2023-09-25,2672
2023-09-26,2680
2023-09-27,2665
2023-09-29,2650
2023-09-30,2649
2023-10-01,2643
2023-10-03,2648
2023-10-04,2644
2023-10-05,2653
2023-10-06,2643
2023-10-07,2648
2023-10-09,2654
2023-10-10,2645
2023-10-11,2641
2023-10-12,2644
2023-10-13,2643
2023-10-24,2646
2023-10-25,2651
2023-10-30,2646
2023-10-31,2684
2023-11-01,2671
2023-11-02,2695
2023-11-03,2751
2023-11-04,2703
2023-11-06,2680
2023-11-07,2670
2023-11-08,2635
2023-11-09,2667
2023-11-10,2686
2023-11-11,2682
2023-11-12,2687
2023-11-13,2675
2023-11-14,2664
2023-11-15,2631
2023-11-16,2619
2023-11-17,2691
2023-11-18,2685
2023-11-19,2696
2023-11-20,2704
2023-11-21,2664
2023-11-22,2658
2023-11-23,2685
2023-11-24,2676
2023-11-27,2673
2023-11-30,2679
2023-12-01,2670
2023-12-04,2664
2023-12-05,2681
2023-12-06,2689
2023-12-07,2678
2023-12-08,2732
2023-12-09,2737
2023-12-11,2715
2023-12-12,2703
2023-12-13,2706
2023-12-14,2732
2023-12-15,2724
2023-12-16,2658
2023-12-18,2667
2023-12-19,2661
2023-12-21,2661
2023-12-22,2646
2023-12-23,2642
2023-12-26,2704
2023-12-27,2693
2023-12-28,2694
2024-01-11,2663
2024-01-15,2659
2024-01-16,2688
2024-01-17,2683
2024-01-18,2682
2024-01-23,2668
2024-01-24,2666
2024-01-25,2650
2024-01-30,2658
2024-02-01,2663
2024-02-02,2670
2024-02-03,2653
2024-02-04,2619
2024-02-05,2720
2024-02-06,2718
2024-02-07,2746
2024-02-08,2689
