Date,Rating
2024-06-05,2390
2024-06-16,2382
2024-07-13,2371
2024-07-18,2381
2024-07-19,2374
2024-08-19,2358
2024-08-24,2346
2024-08-26,2344
2024-09-01,2345
2024-09-28,2354
2024-09-29,2321
2024-10-30,2311
2024-10-31,2321
2024-11-02,2332
2024-11-23,2307
2024-11-24,2288
2024-11-25,2245
2024-12-03,2231
2024-12-05,2231
2024-12-19,2240
2024-12-28,2249
2024-12-29,2264
2025-01-10,2275
2025-01-11,2262
2025-01-17,2271
2025-01-19,2272
2025-01-20,2271
2025-01-23,2263
2025-01-27,2274
2025-01-28,2279
2025-01-29,2281
2025-02-04,2271
2025-02-05,2274
2025-02-06,2353
2025-02-07,2332
2025-02-08,2329
2025-02-15,2323
2025-02-16,2320
2025-02-18,2308
2025-02-19,2400
2025-02-20,2388
2025-02-22,2401
2025-02-23,2427
2025-02-24,2410
2025-02-25,2411
2025-02-26,2411
2025-02-27,2412
2025-02-28,2422
2025-03-01,2410
2025-03-02,2395
